acl 2.2.53-1
adwaita-icon-theme 3.28.0-1
alsa-lib 1.1.6-1
alsa-utils 1.1.6-1
aom 1.0.0-1
arc-gtk-theme 20180715-1
archlinux-keyring 20180808-1
argon2 20171227-3
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
attr 2.4.48-1
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+16+g1cc2b8e-2
bash 4.4.023-1
bash-pipes 1.2-2
bc 1.07.1-1
binutils 2.31.1-3
bison 3.0.5-1
blackarch-keyring 20140118-3
bluez-libs 5.50-3
broadcom-wl-dkms 6.30.223.271-18
brotli06 0.6.0-1
burpsuite 1:1.7.36-1
bzip2 1.0.6-8
c-ares 1.14.0-1
ca-certificates 20180821-1
ca-certificates-mozilla 3.39-1
ca-certificates-utils 20180821-1
cairo 1.15.12-1
cantarell-fonts 1:0.111-1
capstone 3.0.5-1
cava 0.6.1-1
cdparanoia 10.2-7
cmake 3.12.2-1
cmatrix 1.2a-12
code 1.27.2-1
colord 1.4.3-2
confuse 3.2.2-1
coreutils 8.30-1
cracklib 2.9.6-1
cryptsetup 2.0.4-1
curl 7.61.1-1
db 5.3.28-4
dbus 1.12.10-2
dbus-glib 0.110-1
dconf 0.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.181-1
dhcpcd 7.0.8-1
dialog 1:1.3_20180621-1
diffutils 3.6-1
dkms 2.5-3
dnssec-anchors 20170711-1
double-conversion 3.1.0-1
e2fsprogs 1.44.4-1
electron 2.0.9-1
expat 2.2.6-1
fakeroot 1.23-1
feh 2.27.1-1
ffmpeg 1:4.0.2-2
fftw 3.3.8-1
file 5.34-1
filesystem 2018.8-1
findutils 4.6.0-2
firefox 62.0-1
flac 1.3.2-1
flex 2.6.4-1
fontconfig 2:2.13.0+15+gc60ed9e-1
freetype2 2.9.1-1
fribidi 1.0.5-1
gawk 4.2.1-1
gc 7.6.6-1
gcc 8.2.1+20180831-1
gcc-libs 8.2.1+20180831-1
gconf 3.2.6+11+g07808097-3
gcr 3.28.0-4
gdbm 1.17-1
gdk-pixbuf2 2.36.12-1
geoip 1.6.12-1
geoip-database 20180403-1
gettext 0.19.8.1-2
giflib 5.1.4-1
git 2.19.0-1
glib-networking 2.56.1-1
glib2 2.58.0-1
glibc 2.28-4
gmp 6.1.2-1
gnupg 2.2.10-1
gnutls 3.5.19-1
gpgme 1.11.1-2
gpm 1.20.7-8
graphene 1.8.2-1
graphite 1:1.3.12-1
grep 3.1-1
groff 1.22.3-7
grub 2:2.02-7
gsettings-desktop-schemas 3.28.1-1
gsm 1.0.18-1
gst-plugins-base 1.14.2-1
gst-plugins-base-libs 1.14.2-1
gstreamer 1.14.2-1
gtk-update-icon-cache 3.22.30-1
gtk2 2.24.32-1
gtk3 3.22.30-1
gtop 0.1.5-1
guile 2.2.4-1
gulp 4.0.0-1
gzip 1.9-1
harfbuzz 1.9.0-1
hicolor-icon-theme 0.17-1
htop 2.2.0-2
http-parser 2.8.1-1
hunspell-en_US 2018.04.16-5
hwids 20180518-1
hwloc 1.11.10-1
i3-gaps 4.15.0.1-2
i3blocks 1.4-6
i3lock-color 2.11-4
i3status 2.12-1
iana-etc 20180221-1
icu 62.1-1
imagemagick 7.0.8.11-1
imlib2 1.5.1-1
inetutils 1.9.4-5
iniparser 4.1-1
intel-ucode 20180807.a-1
iproute2 4.18.0-1
iptables 1.8.0-1
iputils 20180629.f6aac8d-2
iso-codes 3.79-1
jack 0.125.0-5
jansson 2.11-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jdk10-openjdk 10.0.2.u13-1
jfsutils 1.1.15-5
john 1.8.0.jumbo1-10
jre10-openjdk 10.0.2.u13-1
jre10-openjdk-headless 10.0.2.u13-1
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.2-2
jsoncpp 1.8.4-2
kbd 2.0.4-1
keyutils 1.5.11-1
kmod 25-1
krb5 1.16.1-1
l-smash 2.14.5-1
lame 3.100-2
lcms2 2.9-1
ldns 1.7.0-4
less 530-1
libaio 0.3.111-1
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.1-1
libasyncns 0.8+3+g68cd5af-1
libatomic_ops 7.6.6-1
libavc1394 0.5.4-3
libbluray 1.0.2-2
libcanberra 0.30+2+gc0620e4-1
libcap 2.25-1
libcap-ng 0.7.9-1
libcroco 0.6.12+4+g9ad7287-1
libcups 2.2.8-3
libcurl-compat 7.61.1-1
libcurl-gnutls 7.61.1-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdmx 1.1.4-1
libdrm 2.4.94-1
libedit 20180525_3.1-1
libelf 0.171-1
libepoxy 1.5.2-1
libev 4.24-1
libevdev 1.5.9-1
libevent 2.1.8-1
libexif 0.6.21-3
libffi 3.2.1-2
libfontenc 1.1.3-2
libgcrypt 1.8.3-1
libglvnd 1.1.0-1
libgpg-error 1.32-1
libgudev 232-1
libgusb 0.3.0-1
libibus 1.5.19-1
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.34-2
libidn2 2.0.5-1
libiec61883 1.2.0-5
libinput 1.12.0-1
libjpeg-turbo 2.0.0-1
libksba 1.3.5-1
libldap 2.4.46-2
liblqr 0.4.2-2
libmagick 7.0.8.11-1
libmm-glib 1.8.0-2
libmnl 1.0.4-1
libmodplug 0.8.9.0-1
libmpc 1.1.0-1
libndp 1.6-1
libnet 1.1.6-3
libnewt 0.52.20-2
libnftnl 1.1.1-1
libnghttp2 1.32.0-1
libnl 3.4.0-1
libnm 1.12.3dev+1+g0a3755c17-1
libnm-glib 1.12.3dev+1+g0a3755c17-1
libnotify 0.7.7-1
libnsl 1.2.0-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.0-1
libpng 1.6.34-2
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libraqm 0.5.0-1
libraw1394 2.1.2-1
librsvg 2:2.44.2-1
libsamplerate 0.1.9-1
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libsm 1.2.2-3
libsndfile 1.0.28-1
libsodium 1.0.16-1
libsoup 2.62.3-1
libsoxr 0.1.3-1
libssh 0.8.2-1
libssh2 1.8.0-2
libsystemd 239.0-2
libtasn1 4.13-1
libteam 1.27-2
libthai 0.1.27-1
libtheora 1.1.1-4
libtiff 4.0.9-2
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-2
libtorrent 0.13.7-1
libunistring 0.9.10-1
libunwind 1.2.1-1
libusb 1.0.22-1
libutempter 1.1.6-3
libutil-linux 2.32.1-2
libuv 1.23.0-1
libva 2.2.0-2
libvdpau 1.1.1+3+ga21bf7a-1
libvisual 0.4.0-7
libvorbis 1.3.6-1
libvpx 1.7.0-1
libwacom 0.30-1
libwebp 1.0.0-1
libx11 1.6.6-1
libxau 1.0.8-3
libxaw 1.0.13-2
libxcb 1.13-1
libxcomposite 0.4.4-3
libxcursor 1.1.15-1
libxdamage 1.1.4-3
libxdg-basedir 1.2.0-4
libxdmcp 1.1.2-2
libxext 1.3.3-2
libxfixes 5.0.3-2
libxfont2 2.0.3-1
libxft 2.3.2-2
libxi 1.7.9-1
libxinerama 1.1.4-1
libxkbcommon 0.8.2-1
libxkbcommon-x11 0.8.2-1
libxkbfile 1.0.9-2
libxml2 2.9.8-4
libxmu 1.1.2-2
libxpm 3.5.12-1
